Enrollment_ID,Student_ID,Enrollment_Date,Course_Category,Amount_Paid,Payment_Mode,Completion_Rate_%,Total_Learning_Minutes,Certification_Earned,Is_Returning_Student
47,691723,2021-12-16,Programming,10019,EMI,51.0,1719,0,1
48,419030,2021-03-25,Programming,20814,Net Banking,49.77,1798,0,0
49,428947,2022-06-17,Finance,19535,Net Banking,56.63,1700,0,0
50,655839,2023-03-04,Data Analytics,24376,Net Banking,64.34,1659,0,0
51,373538,2021-12-24,Design,15104,Debit Card,47.48,317,0,0
52,431236,2022-01-13,Design,13479,Debit Card,98.39,509,1,1
53,628178,2021-06-21,Programming,14373,Debit Card,40.12,1460,0,0
54,665894,2021-01-25,Finance,20234,Debit Card,86.33,909,1,0
55,589492,2022-01-28,Marketing,12357,Debit Card,71.59,2045,0,0
56,356840,2021-04-13,Programming,21831,EMI,45.13,1479,0,1
57,573254,2022-12-03,Programming,16772,EMI,47.2,1156,0,0
58,449457,2021-08-24,Design,9738,Debit Card,75.4,2035,1,1
59,765987,2022-02-14,Design,8901,EMI,58.92,330,0,0
60,370936,2023-04-05,Programming,20708,Debit Card,67.01,1876,0,1
61,339931,2022-07-03,Design,12670,Debit Card,72.95,338,0,0
62,339629,2023-02-23,Finance,8549,Debit Card,74.4,979,0,0
63,305041,2023-03-16,Marketing,10934,EMI,74.96,1817,0,1
64,798361,2021-11-28,Marketing,8666,Credit Card,44.2,2351,0,0
65,831912,2022-10-26,Marketing,8453,Credit Card,84.43,240,1,1
66,517113,2023-03-05,Programming,26951,Credit Card,57.61,971,0,1
67,168148,2022-06-16,Programming,29136,UPI,46.87,427,0,0
68,877089,2022-10-11,Programming,17479,Credit Card,46.13,1654,0,1
69,748531,2023-05-21,Finance,9473,Credit Card,54.22,2355,0,0
70,351995,2021-01-29,Marketing,6435,Credit Card,77.72,654,1,0
71,778843,2022-06-27,Design,14181,Net Banking,68.32,1104,0,0
72,672843,2021-01-19,Design,11224,Debit Card,46.42,556,0,1
73,356508,2021-05-28,Data Analytics,10405,EMI,41.94,1050,0,0
74,903591,2022-04-16,Data Analytics,16446,Net Banking,41.48,2368,0,1
75,996942,2022-05-06,Design,15201,Debit Card,65.27,1089,0,0
76,206530,2021-10-10,Marketing,7834,Credit Card,87.29,1060,1,1
77,704365,2023-05-12,Programming,16042,Credit Card,74.42,1549,0,1
78,922352,2023-05-03,Design,17453,Net Banking,88.58,1793,1,0
79,560337,2023-03-23,Design,13656,EMI,59.16,2333,0,1
80,824839,2022-11-06,Data Analytics,24806,Net Banking,48.42,1120,0,0
81,905889,2021-04-23,Marketing,18485,Net Banking,88.18,611,1,0
82,559773,2022-03-31,Design,17844,Debit Card,83.67,1037,1,1
83,308261,2022-10-24,Programming,14933,UPI,75.35,1702,1,1
84,864469,2021-11-26,Programming,24218,EMI,93.27,608,1,0
85,441097,2021-09-12,Finance,17087,EMI,77.84,745,1,0
86,415139,2022-08-22,Programming,24411,Net Banking,71.55,782,0,0
87,271829,2022-02-03,Design,14480,Net Banking,70.14,1030,0,1
88,371836,2023-05-12,Design,11072,Credit Card,77.04,1833,1,1
89,538974,2022-09-02,Programming,9554,Net Banking,71.0,864,0,0
90,302283,2022-05-23,Data Analytics,24390,Debit Card,56.36,392,0,0
91,296769,2022-10-06,Marketing,7765,Credit Card,97.23,2354,1,1
92,661353,2022-04-11,Design,7091,UPI,97.48,770,1,0
93,323165,2023-04-04,Programming,13830,Debit Card,50.01,2057,0,0
94,723587,2022-02-11,Programming,22891,EMI,71.84,1961,0,0
95,635822,2022-09-01,Design,6657,EMI,87.38,1926,1,1
96,587879,2021-04-08,Finance,21924,Debit Card,43.29,1907,0,0
97,664685,2021-10-17,Marketing,15003,Net Banking,47.41,353,0,1
98,882038,2023-05-18,Design,11094,Net Banking,72.69,1821,0,1
99,453531,2023-01-09,Programming,16463,Net Banking,41.7,1330,0,0
100,363160,2022-10-19,Finance,16420,EMI,89.98,1638,1,1
101,679879,2021-06-05,Design,6962,Debit Card,92.39,1192,1,1
102,320884,2023-02-21,Marketing,6490,Net Banking,84.18,2397,1,0
103,123247,2021-06-11,Finance,15509,Credit Card,89.34,247,1,1
104,124300,2022-09-16,Programming,21505,EMI,80.3,2127,1,0
105,567281,2023-04-23,Data Analytics,17408,Debit Card,48.51,2071,0,0
106,707086,2022-11-28,Marketing,14524,Debit Card,41.79,1891,0,1
107,633556,2022-12-18,Finance,8176,Debit Card,90.89,2325,1,0
108,448951,2021-04-07,Design,11099,Debit Card,82.43,651,1,1
109,374329,2022-01-12,Design,7600,UPI,63.91,1602,0,0
110,819064,2022-07-21,Finance,10094,Credit Card,87.81,1341,1,1
111,842139,2022-03-26,Design,7263,UPI,43.2,1270,0,0
112,532315,2021-04-27,Finance,8066,Net Banking,59.15,1079,0,0
113,616588,2022-08-28,Marketing,17624,UPI,60.51,2356,0,1
114,336584,2023-03-16,Design,10744,UPI,46.29,945,0,0
115,662332,2022-12-17,Marketing,8790,EMI,84.5,847,1,1
116,937646,2023-03-05,Programming,16079,Debit Card,86.65,965,1,1
117,476896,2022-05-21,Programming,20681,UPI,74.99,373,0,0
118,148984,2021-07-08,Programming,27057,Debit Card,65.07,1739,0,1
119,402918,2022-04-21,Programming,27747,Credit Card,76.42,2050,1,0
120,364712,2021-11-19,Design,17160,UPI,93.9,269,1,1
121,220151,2022-08-19,Finance,10723,EMI,61.47,1999,0,1
122,555808,2021-06-29,Design,8501,EMI,60.05,1527,0,0
123,233767,2023-02-25,Design,7814,Net Banking,77.36,2065,1,0
124,748663,2021-06-30,Marketing,12642,UPI,81.02,2308,1,1
125,803550,2022-11-24,Finance,7348,Credit Card,67.46,1205,0,1
126,236330,2023-03-06,Data Analytics,10122,Debit Card,91.57,343,1,0
127,580754,2021-10-14,Data Analytics,23248,UPI,61.14,1939,0,0
128,401648,2022-04-20,Finance,21905,Net Banking,78.46,662,1,0
129,788519,2022-09-10,Data Analytics,22597,EMI,80.07,1685,1,1
130,113986,2022-10-03,Finance,18709,UPI,57.69,2317,0,0
131,686146,2021-09-19,Marketing,6211,Net Banking,41.13,2347,0,1
132,229312,2022-06-07,Marketing,9529,Credit Card,89.6,960,1,0
133,112666,2021-06-11,Design,12737,Debit Card,68.95,1546,0,1
134,400804,2022-05-02,Data Analytics,14349,Credit Card,45.73,692,0,0
135,234633,2021-06-30,Finance,11100,Credit Card,97.45,1506,1,1
136,388998,2022-12-26,Marketing,19930,Debit Card,57.79,728,0,0
137,950937,2022-04-14,Design,14458,UPI,68.47,1723,0,0
138,728776,2023-02-25,Data Analytics,8147,Debit Card,69.04,618,0,0
139,807611,2021-01-21,Data Analytics,9709,Net Banking,62.25,901,0,0
140,384806,2021-10-02,Data Analytics,21634,Credit Card,49.09,1093,0,1
141,894824,2021-09-17,Marketing,9990,Debit Card,82.26,2341,1,1
142,130535,2021-11-29,Marketing,17656,EMI,51.73,1689,0,1
143,475713,2022-04-11,Data Analytics,21962,Debit Card,80.94,1395,1,1
144,938688,2021-04-26,Marketing,13854,Debit Card,88.13,1304,1,0
145,451279,2022-02-17,Data Analytics,11836,Net Banking,41.39,2310,0,1
146,921654,2022-06-21,Programming,23256,Credit Card,83.91,809,1,0
147,701661,2023-04-25,Marketing,14183,Net Banking,78.28,639,1,1
148,747972,2023-02-05,Finance,18513,Net Banking,51.75,2383,0,0
149,589570,2022-12-24,Marketing,10523,EMI,77.21,1427,1,0
150,556551,2023-03-28,Data Analytics,8368,Net Banking,65.25,2180,0,0
151,373109,2023-04-13,Finance,14144,Net Banking,45.08,970,0,1
152,124538,2023-05-01,Design,17172,EMI,71.42,2389,0,1
153,994498,2021-09-14,Finance,19935,UPI,98.4,2158,1,0
154,301664,2021-06-17,Finance,8470,Net Banking,78.93,1669,1,1
155,591234,2023-04-29,Marketing,17285,Debit Card,59.83,1993,0,1
156,999684,2022-06-17,Finance,9597,Net Banking,73.81,2444,0,0
157,239182,2022-08-21,Finance,19826,Credit Card,84.27,2091,1,1
158,572525,2021-01-15,Data Analytics,9302,Debit Card,49.37,585,0,0
159,258338,2021-02-19,Marketing,19431,Debit Card,71.73,1541,0,1
160,284064,2021-10-31,Data Analytics,19516,UPI,70.41,1746,0,0
161,314020,2022-05-02,Marketing,7894,Credit Card,62.59,1112,0,0
162,723094,2022-02-20,Design,17254,Credit Card,84.82,1212,1,1
163,997421,2021-11-01,Finance,9524,Credit Card,73.9,2074,0,0
164,715270,2021-07-15,Marketing,7088,Net Banking,81.93,1812,1,0
165,745914,2023-05-26,Finance,12705,Net Banking,75.76,1563,1,1
166,219176,2023-03-24,Finance,8326,Debit Card,86.86,732,1,1
167,318126,2023-03-11,Programming,16484,UPI,78.04,2406,1,1
168,318969,2022-01-23,Data Analytics,22211,Net Banking,80.66,1225,1,1
169,222409,2023-01-27,Marketing,13582,Net Banking,53.53,466,0,0
170,647707,2023-05-15,Design,14475,UPI,90.75,1915,1,0
171,353618,2022-03-31,Programming,12356,Credit Card,49.32,1759,0,1
172,869598,2022-12-14,Data Analytics,9102,Debit Card,60.39,1911,0,1
173,150015,2022-12-06,Design,6067,Net Banking,93.36,713,1,0
174,872838,2023-04-28,Design,5744,UPI,46.52,1784,0,1
175,222096,2022-10-20,Finance,10074,UPI,92.0,1170,1,0
176,731347,2021-11-06,Data Analytics,10862,Credit Card,68.52,638,0,0
177,285340,2021-05-07,Programming,23189,EMI,51.02,241,0,0
178,210687,2021-06-24,Marketing,11955,EMI,84.23,571,1,1
179,974371,2021-05-14,Marketing,12868,EMI,57.03,1718,0,0
180,511357,2021-03-07,Programming,11560,EMI,80.67,1300,1,1
181,835716,2022-01-28,Finance,11791,Net Banking,87.45,929,1,1
182,205878,2021-12-31,Finance,10834,UPI,74.16,1935,0,1
183,827270,2021-10-06,Design,7774,Debit Card,87.16,577,1,0
184,298286,2023-01-28,Data Analytics,22235,Net Banking,96.1,562,1,1
185,873290,2021-12-29,Design,16420,EMI,73.02,821,0,0
186,874684,2023-01-19,Marketing,19531,Debit Card,49.14,227,0,1
187,264899,2021-06-20,Programming,10012,Debit Card,82.58,1426,1,1
188,424767,2021-02-20,Data Analytics,12285,EMI,64.6,784,0,1
189,961882,2021-11-24,Programming,18066,Debit Card,71.88,333,0,0
190,979858,2023-05-21,Data Analytics,11556,Net Banking,77.61,2275,1,0
191,479989,2022-10-27,Marketing,8325,Credit Card,83.05,468,1,1
192,515515,2022-08-15,Marketing,12957,Net Banking,78.39,2100,1,1
193,143585,2021-05-25,Data Analytics,20159,Net Banking,53.97,2334,0,1
194,471369,2021-10-01,Finance,17846,Credit Card,84.89,412,1,0
195,164044,2021-06-04,Data Analytics,19419,EMI,88.44,1774,1,0
196,542296,2022-05-23,Marketing,18587,EMI,42.26,530,0,0
197,209556,2023-04-29,Programming,27778,Credit Card,58.49,1825,0,0
198,626981,2021-12-29,Design,10542,Net Banking,98.67,2306,1,0
199,981691,2021-11-21,Programming,13521,UPI,50.66,1477,0,1
200,867595,2023-04-28,Marketing,6041,Debit Card,50.97,2315,0,1
201,300235,2022-10-17,Programming,23651,Debit Card,75.48,793,1,0
202,125939,2021-10-25,Finance,19925,Debit Card,60.29,1602,0,1
203,252906,2022-05-09,Finance,8848,UPI,79.43,2049,1,1
204,642335,2022-06-30,Data Analytics,18316,Net Banking,55.76,1347,0,0
205,388249,2021-10-31,Programming,13191,EMI,65.56,359,0,1
206,175766,2022-04-12,Programming,28250,Credit Card,99.91,1987,1,1
207,508923,2021-08-27,Marketing,19024,Debit Card,62.41,1923,0,0
208,515192,2022-10-12,Data Analytics,21599,UPI,45.17,1911,0,0
209,668550,2023-02-05,Data Analytics,11334,Credit Card,84.55,2008,1,0
210,487261,2022-06-01,Programming,29043,Net Banking,75.31,2438,1,0
211,910208,2023-06-03,Design,12079,UPI,66.67,447,0,1
212,785440,2021-06-25,Programming,26038,UPI,94.52,217,1,0
213,752664,2023-06-04,Programming,27746,Credit Card,48.8,1319,0,1
214,554589,2022-02-14,Programming,18584,Credit Card,69.38,1643,0,1
215,237848,2022-12-27,Finance,18860,Debit Card,51.51,1356,0,1
216,717075,2021-12-30,Data Analytics,13452,Net Banking,45.01,793,0,0
217,227948,2021-01-23,Finance,11839,Credit Card,66.54,2250,0,1
218,679304,2021-11-14,Design,12593,Debit Card,96.84,515,1,1
219,502690,2022-06-09,Marketing,6284,Debit Card,83.32,2455,1,0
220,599046,2023-01-23,Design,14532,Credit Card,54.07,1011,0,1
221,551269,2021-10-03,Data Analytics,8511,UPI,67.76,1545,0,1
222,121959,2022-08-27,Marketing,17247,UPI,87.85,2441,1,0
223,760890,2022-09-12,Design,9124,UPI,51.72,451,0,1
224,850216,2021-08-17,Data Analytics,20003,Debit Card,52.22,1864,0,0
225,890180,2022-10-26,Design,16557,UPI,50.86,267,0,0
226,328576,2021-04-18,Marketing,9078,Net Banking,76.45,1599,1,0
227,637833,2023-03-12,Marketing,10637,UPI,41.74,932,0,1
228,265838,2021-06-25,Design,15454,UPI,75.26,1545,1,0
229,435674,2021-11-16,Finance,19914,Debit Card,89.52,534,1,0
230,979989,2021-10-13,Design,17215,EMI,86.96,588,1,0
231,161087,2023-05-26,Design,13406,Net Banking,80.01,2499,1,1
232,693128,2021-11-25,Design,16433,Debit Card,53.17,838,0,0
233,218451,2023-05-27,Finance,17460,Net Banking,88.99,1889,1,1
234,547600,2023-01-23,Programming,14119,Net Banking,97.45,688,1,1
235,937437,2022-10-19,Marketing,9331,UPI,51.03,666,0,0
236,539792,2021-12-22,Data Analytics,10308,Net Banking,94.62,2171,1,0
237,139353,2021-01-14,Marketing,7837,UPI,91.18,1777,1,0
238,293075,2021-10-02,Marketing,14010,Net Banking,98.76,921,1,0
239,314283,2021-03-12,Programming,25001,EMI,59.16,2179,0,1
240,414877,2023-04-07,Marketing,11119,Net Banking,96.04,583,1,0
241,165318,2021-07-14,Marketing,11736,Credit Card,50.77,2412,0,1
242,865313,2023-05-15,Finance,7565,UPI,50.51,875,0,1
243,582690,2023-03-23,Finance,18883,EMI,46.42,947,0,0
244,516880,2023-05-29,Finance,14639,UPI,65.67,373,0,1
245,691460,2022-06-07,Finance,19090,EMI,40.73,2359,0,1
246,840976,2021-04-16,Finance,15992,UPI,62.88,1343,0,0
247,881239,2023-02-09,Data Analytics,20933,Credit Card,77.56,2322,1,0
248,193264,2023-06-12,Programming,14084,Credit Card,44.7,1086,0,0
249,870746,2021-07-15,Design,8504,EMI,89.11,2276,1,1
250,913168,2021-05-25,Finance,16183,Debit Card,57.56,1481,0,0
251,325281,2023-01-02,Programming,23062,UPI,42.79,2009,0,0
252,737147,2021-12-16,Design,15717,Debit Card,62.48,2024,0,1
253,998613,2022-02-28,Marketing,11613,Net Banking,48.31,2112,0,0
254,494070,2022-04-16,Marketing,16621,Credit Card,87.72,2077,1,0
255,452228,2022-11-17,Programming,19792,UPI,60.04,616,0,0
256,531839,2021-08-04,Data Analytics,14905,Credit Card,47.02,2407,0,0
257,369536,2021-04-03,Data Analytics,21634,Net Banking,67.22,616,0,0
258,417824,2021-09-17,Programming,19331,EMI,67.12,879,0,0
259,357426,2022-07-29,Data Analytics,8376,UPI,56.54,2437,0,0
260,277789,2022-06-25,Data Analytics,16142,UPI,59.62,1505,0,0
261,613153,2023-02-26,Marketing,7104,UPI,86.13,1806,1,0
262,842452,2023-05-09,Data Analytics,18339,EMI,78.32,920,1,0
263,937291,2021-10-12,Data Analytics,13242,Credit Card,52.88,2290,0,0
264,225657,2022-04-29,Programming,11847,EMI,96.89,680,1,1
265,335167,2022-01-07,Data Analytics,19659,Credit Card,58.28,822,0,0
266,781669,2021-03-11,Finance,15214,UPI,72.01,2268,0,0
267,580671,2022-01-14,Finance,9703,EMI,74.27,1529,0,1
268,819094,2021-10-06,Programming,15662,Net Banking,52.82,2181,0,0
269,170467,2023-01-13,Finance,10348,EMI,57.47,1315,0,0
270,283734,2021-10-29,Marketing,17961,Credit Card,68.84,1403,0,1
271,722794,2021-09-12,Programming,24454,UPI,55.38,386,0,0
272,209751,2022-11-15,Data Analytics,17110,Credit Card,58.34,949,0,0
273,481050,2022-11-23,Finance,17171,Debit Card,76.79,1421,1,0
274,911774,2021-09-21,Marketing,6376,UPI,84.03,297,1,0
275,792517,2022-11-26,Programming,24384,Net Banking,88.06,2234,1,0
276,561079,2023-04-14,Programming,15434,Net Banking,47.3,340,0,0
277,468452,2022-12-18,Data Analytics,17388,Debit Card,84.22,1292,1,0
278,206081,2022-02-28,Design,14862,Credit Card,96.18,2091,1,1
279,713333,2023-01-31,Finance,14620,Net Banking,74.84,2015,0,0
280,658986,2021-08-01,Marketing,17332,Credit Card,76.28,757,1,0
281,210078,2022-11-02,Programming,20544,UPI,97.32,1267,1,0
282,967055,2021-04-10,Finance,18102,EMI,92.17,1298,1,0
283,122671,2023-04-09,Marketing,12485,UPI,73.46,2321,0,0
284,518400,2021-04-22,Marketing,19157,Credit Card,85.95,1610,1,1
285,455528,2021-11-04,Programming,10356,Debit Card,50.85,460,0,1
286,710490,2022-11-09,Finance,8766,UPI,64.79,702,0,0
287,151663,2022-04-20,Marketing,11505,Net Banking,82.92,2282,1,0
288,115708,2022-07-02,Programming,19556,UPI,57.31,1305,0,1
289,978338,2021-04-22,Finance,19168,UPI,67.23,1442,0,1
290,411955,2021-03-28,Finance,12426,UPI,50.36,1152,0,0
291,233883,2021-07-02,Programming,12841,Debit Card,93.87,276,1,1
292,418394,2022-08-20,Finance,10244,Credit Card,93.74,643,1,1
293,212547,2023-02-20,Design,5543,Debit Card,68.7,2041,0,0
294,659042,2021-06-14,Marketing,17463,Net Banking,51.52,1629,0,1
295,851102,2023-03-26,Marketing,17855,Credit Card,80.75,1943,1,1
296,862002,2021-03-31,Finance,21176,Net Banking,52.81,871,0,1
297,242483,2022-03-31,Programming,23410,Credit Card,53.72,1625,0,0
298,758271,2021-08-26,Data Analytics,24351,Credit Card,98.32,1128,1,1
299,314835,2022-06-18,Finance,8620,UPI,45.97,2055,0,0
300,501896,2022-11-10,Data Analytics,12312,UPI,62.75,565,0,1
301,184896,2022-12-28,Finance,21968,Debit Card,73.29,564,0,0
302,577095,2021-02-27,Data Analytics,16723,Credit Card,46.47,877,0,0
303,171295,2022-06-26,Finance,19736,Net Banking,42.34,2405,0,1
304,843974,2022-09-10,Programming,16828,UPI,72.54,2183,0,0
305,987121,2022-02-06,Data Analytics,23366,Net Banking,46.87,572,0,1
306,373255,2023-04-22,Design,5888,UPI,55.07,1236,0,0
307,399648,2022-11-10,Programming,25776,Credit Card,69.84,1428,0,1
308,757162,2023-05-12,Finance,16813,Net Banking,60.85,2443,0,0
309,108155,2022-10-28,Data Analytics,11457,Debit Card,82.63,973,1,1
310,566872,2023-04-19,Marketing,13668,Debit Card,97.75,2092,1,1
311,925816,2022-06-03,Programming,11363,Debit Card,85.19,662,1,1
312,474705,2021-07-16,Data Analytics,8317,UPI,100.0,764,1,1
313,671542,2023-04-13,Programming,21666,UPI,63.33,1742,0,0
314,908350,2021-02-15,Data Analytics,16896,Debit Card,58.31,358,0,1
315,710269,2022-06-14,Marketing,19785,Net Banking,52.76,2185,0,1
316,654594,2022-02-01,Design,8771,UPI,93.09,2191,1,1
317,247718,2022-10-27,Marketing,15233,Debit Card,63.4,443,0,1
318,408987,2023-02-15,Finance,18066,UPI,82.66,1080,1,1
319,745263,2021-03-15,Programming,29628,EMI,80.49,1231,1,1
320,458745,2022-02-20,Design,9653,Net Banking,43.42,2172,0,1
321,207512,2022-10-19,Programming,24371,Credit Card,92.78,2202,1,1
322,247443,2022-09-06,Data Analytics,14885,Net Banking,69.19,1819,0,1
323,570587,2021-12-01,Finance,17701,Credit Card,53.41,1268,0,0
324,473616,2023-04-27,Finance,11006,Debit Card,98.75,819,1,1
325,757409,2022-09-25,Programming,21002,UPI,85.19,1788,1,1
326,786976,2022-11-19,Finance,18216,Debit Card,77.0,2279,1,0
327,465871,2022-07-29,Programming,21982,Credit Card,99.3,2109,1,0
328,475037,2021-10-23,Data Analytics,22902,EMI,85.4,1850,1,0
329,907364,2021-03-25,Data Analytics,22601,Credit Card,47.27,201,0,0
330,217796,2021-01-15,Programming,27511,UPI,99.47,1871,1,1
331,391999,2023-05-17,Marketing,10613,EMI,75.86,1959,1,0
332,292506,2021-05-14,Marketing,19950,UPI,57.97,1527,0,1
333,798376,2022-04-23,Data Analytics,23516,EMI,89.05,981,1,1
334,369544,2022-09-25,Design,8654,UPI,42.88,1948,0,1
335,480002,2021-11-15,Marketing,16885,Credit Card,79.26,488,1,0
336,798002,2022-01-27,Programming,18515,Credit Card,49.56,2283,0,0
337,639439,2022-04-24,Data Analytics,13439,Credit Card,45.25,1421,0,0
338,690978,2022-10-02,Finance,17488,Credit Card,61.24,1420,0,0
339,628787,2022-01-03,Finance,9370,EMI,61.38,485,0,0
340,630583,2022-01-02,Marketing,8603,Net Banking,76.03,1635,1,0
341,488215,2021-10-15,Design,10747,Net Banking,73.93,1648,0,0
342,421184,2023-03-24,Marketing,9533,Debit Card,81.28,2288,1,0
343,898615,2022-01-13,Design,12565,Net Banking,50.45,347,0,0
344,522515,2022-11-23,Marketing,14584,Debit Card,92.25,1826,1,1
345,768234,2022-04-08,Finance,8251,Credit Card,91.52,528,1,1
346,478480,2022-08-17,Design,7966,UPI,52.98,526,0,1
347,132711,2021-01-13,Finance,19856,Net Banking,68.41,409,0,1
348,891971,2022-06-20,Programming,20320,Net Banking,69.28,1750,0,0
349,601157,2021-06-17,Programming,19758,Credit Card,95.27,1320,1,1
350,284423,2021-09-27,Data Analytics,15571,Credit Card,94.34,382,1,0
351,616349,2021-03-11,Finance,10007,Net Banking,44.05,1165,0,0
352,803714,2021-11-14,Finance,14813,Credit Card,97.48,371,1,0
353,757917,2022-01-11,Data Analytics,24306,Net Banking,44.11,224,0,0
354,924792,2021-03-30,Programming,16206,UPI,72.97,853,0,0
355,837378,2022-12-02,Programming,17384,UPI,58.7,484,0,1
356,233272,2021-09-14,Design,13518,Debit Card,63.43,2427,0,1
357,867836,2021-08-05,Design,9120,Net Banking,77.6,1509,1,0
358,802335,2022-03-26,Programming,29581,UPI,75.03,2259,1,1
359,907789,2023-06-13,Marketing,14854,UPI,50.05,930,0,1
360,743409,2022-06-28,Finance,19504,EMI,98.19,422,1,0
361,177505,2021-05-21,Design,9837,UPI,41.72,822,0,1
362,102869,2021-06-10,Marketing,10025,Debit Card,60.6,676,0,1
363,881474,2021-02-01,Design,17554,UPI,88.08,1860,1,0
364,554351,2023-04-04,Data Analytics,12257,Credit Card,91.06,652,1,1
365,412252,2021-06-01,Finance,21622,EMI,87.84,976,1,1
366,736584,2023-05-09,Design,9773,Net Banking,62.35,1085,0,1
367,718467,2021-09-17,Programming,18077,Debit Card,80.4,1762,1,1
368,190272,2022-12-29,Data Analytics,11953,UPI,85.86,1705,1,0
369,138467,2021-10-06,Data Analytics,14317,Net Banking,74.68,981,0,1
370,909760,2021-10-12,Programming,12467,UPI,80.74,1993,1,1
371,977844,2022-09-02,Data Analytics,9471,EMI,73.22,1013,0,0
372,580047,2022-06-26,Finance,12113,Net Banking,43.3,1037,0,1
373,759347,2022-08-25,Design,10690,Credit Card,56.4,566,0,1
374,158871,2021-05-28,Data Analytics,15739,Credit Card,82.16,698,1,0
375,228391,2022-10-18,Finance,8148,Net Banking,54.49,1347,0,1
376,539430,2021-03-08,Programming,29140,Credit Card,67.33,535,0,0
377,710704,2023-05-19,Design,16948,Debit Card,72.08,2320,0,0
378,956703,2022-07-24,Programming,24545,EMI,80.26,307,1,0
379,930496,2023-03-04,Design,12408,Debit Card,55.55,730,0,1
380,356687,2021-10-06,Data Analytics,19602,Net Banking,75.71,831,1,1
381,825451,2023-01-18,Data Analytics,19158,Debit Card,75.79,2319,1,0
382,207450,2022-03-19,Design,11663,EMI,90.7,1093,1,1
383,271890,2023-06-16,Finance,10796,EMI,73.12,924,0,0
384,538741,2023-05-15,Finance,18472,Net Banking,57.7,1942,0,1
385,381974,2022-02-03,Finance,10447,Debit Card,71.36,1801,0,0
386,500109,2021-05-08,Marketing,14276,EMI,46.44,1757,0,0
387,216381,2021-12-03,Finance,19494,Net Banking,76.46,344,1,1
388,573125,2022-04-27,Data Analytics,19610,EMI,94.97,1047,1,0
389,671621,2022-12-22,Marketing,13832,UPI,71.79,1587,0,1
390,234508,2021-07-05,Finance,19448,UPI,57.53,1877,0,1
